Period (s),101h1,101h2,102h1,102h2,103h1,103h2,104h1,104h2,105h1,105h2,201h1,201h2,202h1,202h2,203h1,203h2,204h1,204h2,205h1,205h2,301h1,301h2,302h1,302h2,303h1,303h2,304h1,304h2,305h1,305h2,401h1,401h2,402h1,402h2,403h1,403h2,404h1,404h2,405h1,405h2,501h1,501h2,502h1,502h2,503h1,503h2,504h1,504h2,505h1,505h2,601h1,601h2,602h1,602h2,603h1,603h2,604h1,604h2,605h1,605h2,701h1,701h2,702h1,702h2,703h1,703h2,704h1,704h2,705h1,705h2,801h1,801h2,802h1,802h2,803h1,803h2,804h1,804h2,805h1,805h2
0.01,0.1023828,0.08013128,0.0682027,0.03711952,0.07476378,0.06730077,0.04468091,0.06084802,0.04656015,0.06909713,0.1029198,0.088971,0.2744784,0.2203131,0.1706147,0.1392105,0.07916049,0.08453028,0.157006,0.08813978,0.1163835,0.1475636,0.05173004,0.03783775,0.02853532,0.02774574,0.0482282,0.05216404,0.108659,0.1069223,0.5556196,0.487243,0.2263241,0.1800267,0.04760287,0.04397664,0.02655982,0.02576897,0.0343416,0.03832651,0.00619832,0.00911306,0.00270654,0.00252317,0.00093702,0.00105397,0.00429514,0.00366725,0.03470586,0.04434429,0.2933469,0.3882619,0.308511,0.1672546,0.05865541,0.05433113,0.2933225,0.1766558,0.09237408,0.08707219,0.04091675,0.02687383,0.03168574,0.03189828,0.42351,0.2894944,0.09885935,0.1419442,0.08123847,0.1099621,0.0052232,0.00262317,0.00761394,0.00493461,0.00954006,0.01055647,0.2945363,0.3736523,0.3182822,0.3941981
0.02,0.1030164,0.08053253,0.06885575,0.03748629,0.07411091,0.06664939,0.04418172,0.06030517,0.04703622,0.06935033,0.103198,0.0891014,0.2746962,0.2205449,0.171753,0.1396143,0.08035713,0.08466659,0.1577019,0.08836622,0.1171305,0.1482936,0.05184467,0.03790285,0.0286192,0.02796127,0.04831706,0.05224374,0.109326,0.1075783,0.5474538,0.4836467,0.2272149,0.1804355,0.04700666,0.04486889,0.02634976,0.02570986,0.03460872,0.03869142,0.00621405,0.00911974,0.00270504,0.00252319,0.00093663,0.00105309,0.00428695,0.00366487,0.03473845,0.04437049,0.3086779,0.3941267,0.3130163,0.171575,0.05889183,0.05493049,0.295413,0.180471,0.09399618,0.08737936,0.04098229,0.02692785,0.03179029,0.0320411,0.4290301,0.2923593,0.09967015,0.1429368,0.08173677,0.1103644,0.0052359,0.00263427,0.0076514,0.00496254,0.00954893,0.01056165,0.2974848,0.37756,0.3301847,0.4059582
0.022,0.1085616,0.08208649,0.07061835,0.03814461,0.07397034,0.06675386,0.04453861,0.06027854,0.04908377,0.07239119,0.1032017,0.08914855,0.2748997,0.2205578,0.1715934,0.1398481,0.08069826,0.08506536,0.1583242,0.08845781,0.1199072,0.1514208,0.05187132,0.03792236,0.02868972,0.02815873,0.04832399,0.0521853,0.1108748,0.1093052,0.5483074,0.4870944,0.2288137,0.1789844,0.04711051,0.0453389,0.02646046,0.02580988,0.03466085,0.03901665,0.00621804,0.00912477,0.00270495,0.00252464,0.00093667,0.00105316,0.00428758,0.00366509,0.03474489,0.04437425,0.3127394,0.3943051,0.3138855,0.1714945,0.05907721,0.05524491,0.2950569,0.1807086,0.0947607,0.08717382,0.04097852,0.02694135,0.03182688,0.03209133,0.4320862,0.2905001,0.09995805,0.1428583,0.08181749,0.1105842,0.00523677,0.0026442,0.00764377,0.00498047,0.00955131,0.01056437,0.2999406,0.3773333,0.3380947,0.4054567
0.025,0.1068376,0.08206717,0.0670469,0.03678797,0.07424392,0.0668665,0.04512484,0.06042933,0.04802682,0.07247166,0.1032092,0.08929582,0.2746868,0.220594,0.1719804,0.140182,0.08223944,0.08611041,0.1590547,0.08854505,0.1199802,0.149269,0.05194045,0.0379923,0.02865331,0.02826775,0.04833195,0.05219247,0.112367,0.1104568,0.5494394,0.4923362,0.2230317,0.1834815,0.04914763,0.04623152,0.02698221,0.02580271,0.03398306,0.04050545,0.00623195,0.00912578,0.00270507,0.00252876,0.00093676,0.00105331,0.00428934,0.00366496,0.03475334,0.04439259,0.3166731,0.3928197,0.3137705,0.1714104,0.05898902,0.05561301,0.2967398,0.1820126,0.09534723,0.08906338,0.04123848,0.02699678,0.03182881,0.03215964,0.4343186,0.2937722,0.1009511,0.1420687,0.08215838,0.1111654,0.00525184,0.00264619,0.00763508,0.00500794,0.00954517,0.01056449,0.3042228,0.3811615,0.331276,0.3924281
0.029,0.1076215,0.08288802,0.06686904,0.03694921,0.07501481,0.06658849,0.04650803,0.06054694,0.04878261,0.07183776,0.1032171,0.08941098,0.2753181,0.2207852,0.1765947,0.1402682,0.08349743,0.08663929,0.158659,0.0886692,0.112935,0.1467738,0.05203092,0.03801237,0.02860653,0.02779694,0.04834767,0.0523882,0.1066978,0.1108663,0.542741,0.4911576,0.2254231,0.1810821,0.04942708,0.04782238,0.02690834,0.02610004,0.03383905,0.03915432,0.0062677,0.00912811,0.00271075,0.00253603,0.00093691,0.00105354,0.00429014,0.00366418,0.03476891,0.04439672,0.3159724,0.4060192,0.3175004,0.1756998,0.06022461,0.05622717,0.3010668,0.1829097,0.09376106,0.08804888,0.04119783,0.02710338,0.03191174,0.03226561,0.443419,0.2938634,0.1037326,0.1435802,0.0836533,0.1106151,0.00525813,0.00265446,0.00767305,0.00500586,0.0095484,0.01057006,0.3152216,0.3768057,0.3216734,0.4400818
0.03,0.1070706,0.08146814,0.06665488,0.03655286,0.07480639,0.06692525,0.04666211,0.06043884,0.04816433,0.07166449,0.1034529,0.08942973,0.275615,0.2209134,0.1777571,0.1406605,0.08292901,0.08631685,0.1585973,0.08881614,0.1139847,0.1480287,0.05201871,0.03800055,0.02863377,0.02774733,0.04834581,0.05250197,0.1065184,0.1101398,0.5449756,0.49071,0.2279052,0.1830873,0.04944326,0.04706682,0.0269622,0.02622699,0.03400609,0.03920908,0.00628238,0.00912652,0.00271387,0.00253812,0.0009369,0.00105351,0.00429028,0.00366446,0.03478338,0.04441117,0.3164472,0.4087931,0.3185458,0.1686598,0.05997277,0.05640041,0.3024152,0.1825067,0.0928548,0.08780264,0.04098471,0.02706369,0.031976,0.0323,0.4447836,0.2957582,0.1044071,0.1437478,0.08382089,0.1113966,0.0052569,0.00265774,0.00767872,0.00501696,0.00954875,0.0105734,0.3188706,0.3783124,0.3181453,0.4537161
0.032,0.1082069,0.08114123,0.06612605,0.03699995,0.07477596,0.06755143,0.04620828,0.06145488,0.04708584,0.07056426,0.1039593,0.08944067,0.2765041,0.2209966,0.1794017,0.140884,0.08220619,0.08618511,0.1595205,0.08926869,0.1150161,0.1489738,0.05193964,0.03800273,0.02863366,0.02821305,0.04839791,0.05245735,0.1076562,0.1078047,0.5427403,0.4902589,0.2314832,0.1867062,0.05158571,0.04665064,0.0271045,0.02667212,0.03413994,0.0394948,0.00631742,0.00915279,0.00271562,0.00254424,0.00093694,0.00105347,0.0042908,0.00366472,0.03478802,0.04440352,0.3200519,0.4025723,0.3217511,0.1703536,0.05885091,0.05610864,0.3022138,0.1814322,0.09398735,0.08780324,0.04146738,0.02715945,0.03209621,0.03239464,0.4403562,0.2972051,0.1034159,0.1441748,0.08456393,0.1123899,0.0052596,0.00267788,0.00771331,0.00508791,0.00954894,0.01058001,0.3213939,0.3768949,0.3289191,0.4759389
0.035,0.1110669,0.08132909,0.06763596,0.03696252,0.07372544,0.06666451,0.04647216,0.06268749,0.04649251,0.07105467,0.1037292,0.08976638,0.2766486,0.2214125,0.1799235,0.1410581,0.08814846,0.08712968,0.1599677,0.08911729,0.113788,0.1484106,0.05210954,0.0380333,0.02873356,0.02873546,0.04862307,0.05257866,0.1071464,0.1075138,0.5717056,0.4998238,0.2254478,0.1834061,0.05175484,0.04753923,0.02648499,0.02676292,0.03400949,0.03879847,0.00628181,0.00917206,0.00271987,0.0025303,0.00093689,0.00105362,0.00429337,0.003665,0.03479587,0.0444461,0.3554569,0.4070764,0.3408117,0.1715947,0.05974472,0.05751422,0.3021415,0.1771574,0.09547044,0.09172956,0.04160792,0.02738637,0.03228633,0.03259663,0.4384945,0.3045418,0.105689,0.14981,0.08487435,0.1131528,0.00523396,0.00269557,0.00772557,0.00517406,0.00955826,0.01058516,0.3253891,0.4236241,0.3372205,0.5194605
0.036,0.1108729,0.08206713,0.06784295,0.03692055,0.07387266,0.06676092,0.04670851,0.06282888,0.04710786,0.07152357,0.1033911,0.08976755,0.2762177,0.2213926,0.1781566,0.1405128,0.08991928,0.0893415,0.1594412,0.08912084,0.1140461,0.1494046,0.05202473,0.0380991,0.0287341,0.02872205,0.04864915,0.05258964,0.1066248,0.1075046,0.5791109,0.5038968,0.2258583,0.1844518,0.05277151,0.04881614,0.02637418,0.02677228,0.0342473,0.03878719,0.00623738,0.00916773,0.0027212,0.00252927,0.00093695,0.00105395,0.0042944,0.00366564,0.03480687,0.04443026,0.3655905,0.3970484,0.3427189,0.1641736,0.06033473,0.05798231,0.3023487,0.1768639,0.09591542,0.09228653,0.04173478,0.02728629,0.03228026,0.0326379,0.4376319,0.3058099,0.1076622,0.1508046,0.08498801,0.1134425,0.0052504,0.00270211,0.00775796,0.00516473,0.00956429,0.01058497,0.3234452,0.4268505,0.3500662,0.5330987
0.04,0.1077679,0.08495484,0.06783654,0.03676825,0.07803315,0.06640033,0.04723968,0.06233904,0.04809473,0.07102697,0.1031781,0.08959555,0.2749467,0.2211363,0.1725286,0.1433981,0.09165912,0.09419355,0.1588632,0.09208006,0.1150342,0.1488137,0.05228534,0.0381408,0.02859642,0.0280383,0.04885189,0.05323448,0.1087922,0.107731,0.5878532,0.5118494,0.2291072,0.1835958,0.05291742,0.05091589,0.02794866,0.02588478,0.03506263,0.0384776,0.00621613,0.00917748,0.00271302,0.00255504,0.00093727,0.00105443,0.00429692,0.00366751,0.03480494,0.04446694,0.3825704,0.4263926,0.3352569,0.1777894,0.06012934,0.05823025,0.3106211,0.1843167,0.09900697,0.097518,0.04202259,0.02742776,0.0320813,0.0327792,0.4325171,0.3054473,0.1111095,0.1549131,0.08281763,0.1144603,0.00530954,0.00270955,0.00774821,0.00517541,0.00957578,0.01058777,0.3290878,0.3992565,0.3729312,0.5313017
