Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39,GM40,GM41,GM42,GM43,GM44
0.01,0.2772,0.33827,0.34352,0.40352,0.44863,0.51983,0.28954,0.37547,0.31197,0.47254,0.3702,0.38655,0.52746,0.52044,0.26738,0.23307,0.215,0.24656,0.29901,0.20503,0.24069,0.15413,0.32493,0.47962,0.57522,0.49368,0.49408,0.32529,0.4011,0.43995,0.31227,0.22514,0.52403,0.35327,0.31934,0.4597,0.146,0.18076,0.45833,0.50213,0.46206,0.39223,0.50989,0.45372
0.02,0.27392,0.33249,0.347,0.44232,0.51066,0.50889,0.29032,0.38236,0.32923,0.45434,0.38032,0.38798,0.53193,0.52121,0.26811,0.23318,0.21569,0.24712,0.3011,0.21156,0.23894,0.14867,0.32896,0.48339,0.5966,0.57276,0.51592,0.33059,0.55839,0.43948,0.327,0.2315,0.5265,0.36108,0.31234,0.46052,0.15055,0.18096,0.47779,0.56576,0.48902,0.47252,0.52718,0.45445
0.03,0.31774,0.33486,0.36142,0.46072,0.52037,0.56104,0.28971,0.42626,0.34053,0.51225,0.37128,0.39372,0.55175,0.52619,0.26848,0.23361,0.21563,0.24807,0.3135,0.24389,0.247,0.15545,0.33323,0.48088,0.62707,0.61553,0.56303,0.33522,0.66332,0.56627,0.38568,0.23863,0.55221,0.38111,0.31688,0.46372,0.15915,0.18398,0.48293,0.73729,0.521,0.52177,0.55934,0.4588
0.04,0.32228,0.3762,0.37264,0.47391,0.62745,0.57729,0.3008,0.40991,0.3911,0.52569,0.38128,0.39722,0.57721,0.53345,0.26958,0.23436,0.21701,0.25018,0.32914,0.22691,0.24887,0.16235,0.35697,0.50579,0.68924,0.71375,0.58481,0.36879,0.81454,0.79773,0.39704,0.23742,0.62503,0.45314,0.31352,0.45875,0.1603,0.19277,0.53768,0.67005,0.56628,0.55895,0.57992,0.47504
0.05,0.29026,0.37935,0.38295,0.49879,0.67841,0.56245,0.30771,0.43472,0.43402,0.59623,0.37245,0.38677,0.57564,0.52067,0.27034,0.23856,0.22928,0.24694,0.31849,0.24923,0.27157,0.1795,0.36111,0.50217,0.75675,0.75944,0.63316,0.42443,0.56557,0.98126,0.31348,0.2555,0.83027,0.46848,0.31817,0.47038,0.17174,0.20441,0.56393,0.51112,0.67544,0.67031,0.56271,0.5043
0.06,0.28384,0.36596,0.36126,0.55012,0.67316,0.58711,0.32696,0.47567,0.51736,0.58216,0.39629,0.39993,0.61217,0.59725,0.2722,0.24108,0.22578,0.2552,0.41886,0.28789,0.25834,0.18289,0.40487,0.53972,0.77027,0.79915,0.68869,0.4046,0.82587,1.0525,0.30764,0.27032,0.58283,0.68986,0.36592,0.49793,0.1769,0.21676,0.5757,0.54216,0.65648,0.66695,0.56076,0.49745
0.07,0.29708,0.44563,0.35449,0.61714,0.69137,0.56315,0.32522,0.46519,0.49506,0.67131,0.43272,0.41713,0.6624,0.62879,0.27328,0.25171,0.24371,0.27952,0.40328,0.28073,0.24346,0.19409,0.40544,0.51632,0.80263,0.83241,0.72722,0.59944,0.83831,1.6935,0.35724,0.29721,0.52449,0.51821,0.41244,0.50651,0.20494,0.2316,0.58633,0.61484,0.78149,0.97469,0.5996,0.5035
0.08,0.41508,0.51557,0.46328,0.68554,0.6089,0.53433,0.32364,0.62939,0.49099,0.73862,0.55091,0.44612,0.62607,0.69514,0.27869,0.24974,0.24452,0.31514,0.34541,0.29721,0.28038,0.22102,0.48148,0.54429,0.77741,0.66564,0.79967,0.55267,0.8664,1.087,0.36994,0.36397,0.53961,0.49557,0.42512,0.59494,0.2193,0.23751,0.60801,0.63768,0.89945,1.2483,0.65226,0.58143
0.09,0.39553,0.46227,0.44641,0.73144,0.54068,0.58871,0.38574,0.61478,0.61708,0.92728,0.52709,0.51385,0.71723,0.68091,0.32487,0.2945,0.25477,0.30404,0.35073,0.2521,0.26607,0.34392,0.54477,0.57773,0.90841,0.78597,0.90721,0.58942,0.79129,1.0983,0.31872,0.3653,0.56331,0.54617,0.44415,0.58675,0.20867,0.27191,0.60876,0.60076,1.3241,1.2918,0.78016,0.64471
0.1,0.30893,0.46775,0.56821,0.71834,0.50655,0.67712,0.42397,0.56004,0.79088,1.1906,0.61442,0.5646,0.6667,0.7538,0.29729,0.35071,0.2692,0.2998,0.36662,0.32851,0.30919,0.40447,0.47649,0.55202,1.0056,0.86821,1.1496,0.73921,0.93555,1.1966,0.40376,0.34093,0.60403,0.61424,0.5403,0.55511,0.26141,0.30595,0.59293,0.6031,1.1232,1.2409,0.87662,0.60447
