Building ID,yield drift,yield force,peak drift,peak force,2% drift,2% force,2% area,fitted initial stiffness,fitted hardening stiffness,fitted hardening ratio
0,0.008631225,0.527950646,0.04,0.573050667,0.02,0.548774222,0.008390455,60.82046599,1.535860067,0.025252356
1,0.008394366,0.552554242,0.0225641,0.606283556,0.02,0.602612778,0.00904574,65.7420162,4.418895341,0.067215695
2,0.007875779,0.523573322,0.00955128,0.545326141,0.02,0.54168202,0.008638209,66.47864533,14.3863673,0.216405843
3,0.008010216,0.913666566,0.00929487,0.996107627,0.00929487,0.996107627,0.00488604,114.0626713,64.18726498,0.56273682
4,0.008620266,0.608565396,0.0129487,0.668030222,0.02,0.664969444,0.010107368,70.46166435,15.48927131,0.21982551
5,0.008435499,0.547047079,0.0149359,0.620076364,0.02,0.617535758,0.009279473,64.77643519,13.21866091,0.20406589
6,0.008419761,0.554187191,0.0146795,0.594090667,0.02,0.591109689,0.009114962,65.73608109,7.986994049,0.121500916
7,0.008167866,0.910286979,0.0105769,0.999048222,0.0105769,0.999048222,0.006027638,111.4332612,40.13502629,0.360170975
8,0.008423107,0.678965018,0.0133974,0.76034804,0.02,0.757953535,0.011479805,80.5303842,18.38082694,0.228247104
9,0.011364255,0.66909513,0.0175641,0.713435022,0.02,0.712672889,0.009844449,58.71604927,7.628216335,0.129917057
10,0.01055381,0.696968187,0.0287607,0.698378778,0.02,0.697805,0.010265709,66.03596637,0.083407757,0.001263066
11,0.010065873,0.634397845,0.0101709,0.636099556,0.02,0.635526869,0.009509074,63.02462009,17.573392,0.278833763
12,0.012073125,0.751871672,0.0163675,0.820964089,0.02,0.819520356,0.010911927,62.24506184,17.61049404,0.282921946
13,0.011864725,0.730922914,0.0399573,0.753305,0.02,0.744363889,0.0103298,61.22085206,0.956218223,0.015619159
14,0.011109739,0.738290617,0.0183761,0.784137778,0.02,0.783583434,0.010952478,66.34255726,7.822253447,0.117907023
15,0.011606865,0.980600682,0.0121368,0.9988136,0.0121368,0.9988136,0.006215663,84.48257777,35.74158857,0.423064607
16,0.011979428,0.739228358,0.0168803,0.809323778,0.02,0.808097778,0.010766744,61.68863638,15.95412969,0.258623478
17,0.012385817,0.754873442,0.0399573,0.768740929,0.02,0.767600404,0.01046399,60.48204775,0.710114548,0.011740914
18,0.013997159,0.694813246,0.0211538,0.752761244,0.02,0.745176,0.009222561,49.36207338,8.743951852,0.177139072
19,0.012920206,0.643776396,0.0135256,0.652604333,0.02,0.652165,0.008775202,49.82693212,15.21117812,0.305280246
20,0.011114405,0.763244497,0.0283333,0.778507556,0.02,0.778110303,0.011108593,68.32122999,1.272798695,0.018629622
21,0.015052151,0.750420247,0.0188782,0.803523556,0.02,0.803059733,0.009531872,49.84198785,15.07708014,0.302497569
22,0.01533353,0.686396703,0.04,0.701971111,0.02,0.695572778,0.008499045,44.34881615,0.808249057,0.018224817
23,0.013925628,0.667362063,0.024359,0.697012768,0.02,0.689473535,0.008778973,47.82194657,3.332300451,0.069681406
24,0.015136633,0.735354467,0.0200962,0.801968178,0.02,0.801862578,0.009330541,48.51663425,15.25744831,0.314478705
25,0.014975556,0.747509672,0.0194231,0.800808333,0.02,0.800566556,0.009517223,49.9072547,13.3987819,0.268473631
26,0.015254811,0.799580614,0.04,0.813566061,0.02,0.810191111,0.009913662,52.07457049,0.773658688,0.014856746
27,0.009611941,0.569629954,0.04,0.622069333,0.02,0.596139556,0.008746752,59.1699798,1.909479304,0.032271083
28,0.009003237,0.613143049,0.0169231,0.663273778,0.02,0.662231667,0.009887328,68.05707121,7.326555607,0.107653113
29,0.008575363,0.6185434,0.0169231,0.681798707,0.02,0.680852121,0.010214809,72.08768557,8.63950824,0.119847213
30,0.009002835,0.900530723,0.0122436,0.99853552,0.0122436,0.99853552,0.007147852,99.95722306,32.86668792,0.328807533
31,0.009549695,0.589573831,0.0187821,0.659662111,0.02,0.659012778,0.009471399,61.54105093,9.386757258,0.152528387
32,0.009732374,0.631986829,0.04,0.660126061,0.02,0.657050101,0.009648006,64.27724493,1.272039742,0.019789892
33,0.010496217,0.740036078,0.04,0.768054044,0.02,0.765928356,0.011005573,69.62571627,1.331982892,0.019130617
34,0.008953928,0.876893814,0.0139744,0.998982222,0.0139744,0.998982222,0.008653116,97.88517336,25.60590304,0.261591231
35,0.009396494,0.662665927,0.02,0.751377374,0.02,0.751377374,0.010733687,70.31421787,10.38275517,0.147662244
36,0.012154929,0.756724912,0.0169231,0.785980444,0.02,0.785330667,0.010701839,62.25156364,6.760914037,0.108606333
37,0.011147469,0.663657566,0.0133761,0.686180556,0.02,0.685880556,0.009750939,59.53064391,11.41682507,0.191780641
38,0.010455616,0.692879228,0.0134188,0.732680566,0.02,0.732591111,0.010562145,66.26529897,14.78114922,0.223060176
39,0.013049293,0.795113326,0.0235043,0.887912178,0.02,0.878304889,0.010998038,60.83137252,10.72776548,0.176352514
40,0.012560998,0.752361639,0.0226923,0.843922,0.02,0.837671667,0.010649631,59.80391656,10.89780971,0.182225686
41,0.012044691,0.720342594,0.022265,0.776137455,0.02,0.773933333,0.010315589,59.64870048,6.878547751,0.115317646
42,0.012413452,0.940919561,0.0142308,0.998755378,0.0142308,0.998755378,0.007603172,75.79635953,32.09733303,0.423468003
43,0.01296504,0.794502075,0.0241453,0.882887556,0.02,0.877606111,0.011009029,61.1890891,9.898675589,0.161771906
44,0.012795777,0.846014232,0.0399573,0.870695677,0.02,0.867501818,0.011543157,65.65082395,1.263538758,0.01924635
45,0.014995776,0.683996063,0.0241026,0.739948267,0.02,0.717711111,0.008652902,45.45946579,6.577145512,0.14468154
46,0.013571184,0.723692277,0.0160897,0.752009556,0.02,0.751909444,0.00971289,53.32437075,12.30755085,0.230805365
47,0.011328887,0.708334217,0.0138782,0.764758869,0.02,0.764718788,0.010573571,62.5207871,22.66314585,0.362489772
48,0.016145249,0.84981526,0.04,0.877480889,0.02,0.861776,0.010140023,52.30992711,1.483094556,0.028352067
49,0.015281599,0.740896104,0.025641,0.788268111,0.02,0.778946111,0.00923199,48.38159006,5.762368843,0.119102511
50,0.014946505,0.750546904,0.0375321,0.813120081,0.02,0.768326869,0.009444066,49.76811927,3.447733398,0.069275943
51,0.016291292,0.767194771,0.0239744,0.850630222,0.02,0.817141511,0.009191312,46.98965773,12.01114817,0.255612591
52,0.016142897,0.858638633,0.04,0.878886667,0.02,0.870284667,0.010232489,52.90980065,1.202137464,0.022720506
53,0.015304542,0.744174787,0.0249359,0.803754505,0.02,0.790426263,0.009285728,48.52177187,7.901360819,0.162841556
54,0.010022547,0.650904943,0.04,0.726064,0.02,0.689702222,0.009884822,64.68000971,3.015881412,0.04662772
55,0.00966599,0.592232075,0.0227564,0.654963444,0.02,0.649070556,0.009312706,61.1157751,5.687730598,0.093064853
56,0.009215645,0.598198168,0.0223077,0.673493495,0.02,0.667350707,0.009628176,64.75362343,6.766022496,0.104488709
57,0.009409054,0.887626279,0.0146795,0.998843556,0.0146795,0.998843556,0.009168665,94.23125066,22.29892316,0.236640425
58,0.010220195,0.726628746,0.04,0.767708889,0.02,0.759132778,0.010932283,70.12053166,1.833302513,0.026145017
59,0.009728625,0.709237081,0.04,0.746090505,0.02,0.738520808,0.010849779,71.90094174,1.621089059,0.022546145
60,0.009068692,0.752314991,0.021859,0.796542044,0.02,0.793859911,0.011929274,82.48500458,4.322100562,0.052398622
61,0.008948522,0.862339714,0.0149359,0.999009333,0.0149359,0.999009333,0.009449231,96.31383987,23.73712273,0.24645599
62,0.009031798,0.757307712,0.0267949,0.81671701,0.02,0.805558384,0.012030055,83.09124414,4.044584348,0.048676421
63,0.012600592,0.748873066,0.0259402,0.825930311,0.02,0.798902222,0.010438434,59.39999276,6.413262898,0.107967402
64,0.011915004,0.847715828,0.0340598,0.858249444,0.02,0.857270556,0.011935291,71.00631832,0.661878549,0.009321404
65,0.011094506,0.673159345,0.0166239,0.725011798,0.02,0.724685657,0.010067064,60.64557995,10.56944304,0.174282166
66,0.013454192,0.887416383,0.0278632,0.992125689,0.02,0.967583111,0.011977427,65.76197957,9.014914716,0.137083993
67,0.013698063,0.886705543,0.0394872,0.945465222,0.02,0.921639444,0.011684357,64.19833821,3.003258734,0.046780942
68,0.012602807,0.785472912,0.0381624,0.853928485,0.02,0.819236768,0.010819421,62.03387316,3.286263692,0.05297531
69,0.012662624,0.915185915,0.0160256,0.999982578,0.0160256,0.999982578,0.009027269,72.22505268,26.71280135,0.369855062
70,0.013533033,0.895815144,0.0301709,0.982177,0.02,0.963936111,0.01198725,65.92579987,6.78088086,0.102856255
71,0.012644272,0.801557574,0.0264957,0.862454626,0.02,0.860845657,0.011158027,63.1471537,5.882989746,0.093163182
72,0.015138245,0.787206215,0.0187821,0.813718933,0.02,0.813707556,0.009873352,51.9904036,8.152931927,0.156816092
73,0.014222672,0.70467321,0.0189103,0.744092778,0.02,0.743971667,0.009230753,49.53633434,9.41578935,0.190078444
74,0.01229191,0.703729186,0.0140705,0.757192808,0.02,0.756550707,0.010116459,57.25088069,32.7133049,0.571402649
75,0.016906194,0.833088608,0.04,0.866796444,0.02,0.833250311,0.009610279,48.99816104,1.95858357,0.039972593
76,0.015921473,0.807845112,0.04,0.865804444,0.02,0.817545,0.009737901,50.43800051,2.923894314,0.057970068
77,0.0155974,0.733317917,0.04,0.801522424,0.02,0.745189091,0.008970178,46.67411988,3.468256423,0.074307913
78,0.017736196,0.861932568,0.0322436,0.937710044,0.02,0.871603022,0.009593595,48.50716868,6.729709562,0.138736392
79,0.016135906,0.807505477,0.0281731,0.869247111,0.02,0.838016667,0.009678944,49.92790497,6.669765739,0.133587935
80,0.016359818,0.737764393,0.0307692,0.793861172,0.02,0.758328485,0.008743208,44.9410741,5.159435322,0.114804451
81,0.009455317,0.365397883,0.0194104,0.381950707,0.0200002,0.381943556,0.005704271,38.40939864,2.185936543,0.056911501
84,0.00914992,0.35253727,0.0185385,0.376384731,0.02,0.376379913,0.005623521,38.37804075,3.2759556,0.085360157
87,0.009152703,0.283427775,0.015859,0.30601394,0.02,0.304953623,0.004554732,30.85708819,3.874257162,0.125554853
90,0.009890479,0.337428314,0.0182179,0.353213987,0.02,0.352924183,0.005206139,33.86978877,2.485166141,0.073374126
93,0.008839792,0.305943127,0.0142308,0.329993061,0.02,0.329114173,0.004983355,34.48689513,5.200238999,0.150788843
96,0.008558285,0.268433926,0.0190897,0.292777951,0.02,0.292350059,0.00440725,31.15248483,2.83930774,0.091142256
99,0.008023818,0.28392255,0.0195514,0.290697585,0.0200001,0.290677295,0.004592702,35.2454567,0.74457007,0.021125278
102,0.009442029,0.310579182,0.0221026,0.321156869,0.02,0.320646831,0.004817796,32.6683277,1.05022215,0.032148023
105,0.008927089,0.281365372,0.0176923,0.289838959,0.02,0.289685205,0.004444289,31.40107871,1.270853815,0.040471661
108,0.009765543,0.421227541,0.0242181,0.434426182,0.0200001,0.432713455,0.006435233,42.94615874,1.12233188,0.026133464
111,0.010683918,0.323950975,0.0159231,0.34146027,0.02,0.340016781,0.004874663,30.29250663,4.022992858,0.132804885
114,0.010005276,0.358691298,0.0190256,0.383428882,0.02,0.383016804,0.00555114,35.64363452,3.376608375,0.094732437
117,0.00903713,0.403424411,0.0241283,0.414804967,0.0200001,0.413819346,0.006307105,44.47685368,0.930671144,0.020924842
120,0.009803739,0.316108922,0.0152436,0.343622996,0.02,0.342705204,0.004998605,32.13656454,6.179229174,0.192280328
123,0.009619239,0.342935807,0.0152179,0.367003648,0.02,0.365847806,0.005399146,35.63177218,4.851528898,0.136157384
126,0.008132782,0.316511337,0.0207949,0.329080386,0.02,0.328996329,0.005137664,38.72683099,1.223673491,0.031597563
129,0.009414484,0.290205217,0.0210128,0.296499004,0.02,0.29628497,0.004482644,30.72429239,0.689538988,0.022442795
132,0.009548855,0.264781103,0.0197051,0.282978338,0.02,0.282918919,0.004180456,27.29212258,2.394700896,0.0877433
135,0.009273104,0.300393681,0.0182869,0.314189495,0.0200002,0.314027475,0.004724686,32.16591288,1.964965823,0.061088452
138,0.010925442,0.356867475,0.0267133,0.365636719,0.02,0.364813624,0.005239204,32.38176376,0.732918501,0.022633681
141,0.009736605,0.251353326,0.0221562,0.255873298,0.02,0.255638519,0.003834177,25.72070364,0.463824983,0.018033137
144,0.009078312,0.280608276,0.0200466,0.294117908,0.02,0.294110065,0.004443645,30.66849338,1.592734044,0.051933886
147,0.008937044,0.29380405,0.0182517,0.301951312,0.02,0.301610667,0.004638519,32.54808619,1.112173433,0.034170164
150,0.008898033,0.259652224,0.0180536,0.265697267,0.02,0.265127765,0.004096713,28.88486369,0.855352172,0.02961247
153,0.007653936,0.248940793,0.0159908,0.259781643,0.0200001,0.258242512,0.004131955,32.15796447,1.657420801,0.051539979
156,0.008774124,0.282700984,0.0213869,0.291162693,0.02,0.291103842,0.004482313,31.91464565,0.860006455,0.026947078
159,0.008653908,0.257000067,0.0180769,0.264542142,0.02,0.264233834,0.004095954,29.42982258,0.984080391,0.033438203
162,0.009991856,0.373953059,0.0232519,0.391953535,0.0200001,0.390528081,0.005700801,37.37105716,1.687703772,0.045160718
165,0.01039856,0.32042573,0.0200816,0.334409969,0.02,0.334403988,0.004829178,30.77683414,1.828312648,0.059405481
168,0.010218728,0.374393382,0.0249184,0.388906667,0.02,0.386630547,0.005641316,36.54019518,1.177281725,0.032218813
