building ID,number of story,bay width,story height ratio,number of bay,floor dead load,roof dead load,column beam ratio
0,1,20,1,1,50,20,1
1,1,20,1,1,80,20,1
2,1,20,1,1,110,20,1
3,1,20,1,3,50,20,1
4,1,20,1,3,80,20,1
5,1,20,1,3,110,20,1
6,1,20,1,5,50,20,1
7,1,20,1,5,80,20,1
8,1,20,1,5,110,20,1
9,1,20,1.5,1,50,20,1
10,1,20,1.5,1,80,20,1
11,1,20,1.5,1,110,20,1
12,1,20,1.5,3,50,20,1
13,1,20,1.5,3,80,20,1
14,1,20,1.5,3,110,20,1
15,1,20,1.5,5,50,20,1
16,1,20,1.5,5,80,20,1
17,1,20,1.5,5,110,20,1
18,1,20,2,1,50,20,1
19,1,20,2,1,80,20,1
20,1,20,2,1,110,20,1
21,1,20,2,3,50,20,1
22,1,20,2,3,80,20,1
23,1,20,2,3,110,20,1
24,1,20,2,5,50,20,1
25,1,20,2,5,80,20,1
26,1,20,2,5,110,20,1
27,1,30,1,1,50,20,1
28,1,30,1,1,80,20,1
29,1,30,1,1,110,20,1
30,1,30,1,3,50,20,1
31,1,30,1,3,80,20,1
32,1,30,1,3,110,20,1
33,1,30,1,5,50,20,1
34,1,30,1,5,80,20,1
35,1,30,1,5,110,20,1
36,1,30,1.5,1,50,20,1
37,1,30,1.5,1,80,20,1
38,1,30,1.5,1,110,20,1
39,1,30,1.5,3,50,20,1
40,1,30,1.5,3,80,20,1
41,1,30,1.5,3,110,20,1
42,1,30,1.5,5,50,20,1
43,1,30,1.5,5,80,20,1
44,1,30,1.5,5,110,20,1
45,1,30,2,1,50,20,1
46,1,30,2,1,80,20,1
47,1,30,2,1,110,20,1
48,1,30,2,3,50,20,1
49,1,30,2,3,80,20,1
50,1,30,2,3,110,20,1
51,1,30,2,5,50,20,1
52,1,30,2,5,80,20,1
53,1,30,2,5,110,20,1
54,1,40,1,1,50,20,1
55,1,40,1,1,80,20,1
56,1,40,1,1,110,20,1
57,1,40,1,3,50,20,1
58,1,40,1,3,80,20,1
59,1,40,1,3,110,20,1
60,1,40,1,5,50,20,1
61,1,40,1,5,80,20,1
62,1,40,1,5,110,20,1
63,1,40,1.5,1,50,20,1
64,1,40,1.5,1,80,20,1
65,1,40,1.5,1,110,20,1
66,1,40,1.5,3,50,20,1
67,1,40,1.5,3,80,20,1
68,1,40,1.5,3,110,20,1
69,1,40,1.5,5,50,20,1
70,1,40,1.5,5,80,20,1
71,1,40,1.5,5,110,20,1
72,1,40,2,1,50,20,1
73,1,40,2,1,80,20,1
74,1,40,2,1,110,20,1
75,1,40,2,3,50,20,1
76,1,40,2,3,80,20,1
77,1,40,2,3,110,20,1
78,1,40,2,5,50,20,1
79,1,40,2,5,80,20,1
80,1,40,2,5,110,20,1
81,5,20,1,3,50,20,1
82,5,20,1,3,50,20,1.5
83,5,20,1,3,50,20,2
84,5,20,1,3,50,67.5,1
85,5,20,1,3,50,67.5,1.5
86,5,20,1,3,50,67.5,2
87,5,20,1,3,50,115,1
88,5,20,1,3,50,115,1.5
89,5,20,1,3,50,115,2
90,5,20,1,3,80,20,1
91,5,20,1,3,80,20,1.5
92,5,20,1,3,80,20,2
93,5,20,1,3,80,67.5,1
94,5,20,1,3,80,67.5,1.5
95,5,20,1,3,80,67.5,2
96,5,20,1,3,80,115,1
97,5,20,1,3,80,115,1.5
98,5,20,1,3,80,115,2
99,5,20,1,3,110,20,1
100,5,20,1,3,110,20,1.5
101,5,20,1,3,110,20,2
102,5,20,1,3,110,67.5,1
103,5,20,1,3,110,67.5,1.5
104,5,20,1,3,110,67.5,2
105,5,20,1,3,110,115,1
106,5,20,1,3,110,115,1.5
107,5,20,1,3,110,115,2
108,5,20,1,5,50,20,1
109,5,20,1,5,50,20,1.5
110,5,20,1,5,50,20,2
111,5,20,1,5,50,67.5,1
112,5,20,1,5,50,67.5,1.5
113,5,20,1,5,50,67.5,2
114,5,20,1,5,50,115,1
115,5,20,1,5,50,115,1.5
116,5,20,1,5,50,115,2
117,5,20,1,5,80,20,1
118,5,20,1,5,80,20,1.5
119,5,20,1,5,80,20,2
120,5,20,1,5,80,67.5,1
121,5,20,1,5,80,67.5,1.5
122,5,20,1,5,80,67.5,2
123,5,20,1,5,80,115,1
124,5,20,1,5,80,115,1.5
125,5,20,1,5,80,115,2
126,5,20,1,5,110,20,1
127,5,20,1,5,110,20,1.5
128,5,20,1,5,110,20,2
129,5,20,1,5,110,67.5,1
130,5,20,1,5,110,67.5,1.5
131,5,20,1,5,110,67.5,2
132,5,20,1,5,110,115,1
133,5,20,1,5,110,115,1.5
134,5,20,1,5,110,115,2
135,5,20,1.5,3,50,20,1
136,5,20,1.5,3,50,20,1.5
137,5,20,1.5,3,50,20,2
138,5,20,1.5,3,50,67.5,1
139,5,20,1.5,3,50,67.5,1.5
140,5,20,1.5,3,50,67.5,2
141,5,20,1.5,3,50,115,1
142,5,20,1.5,3,50,115,1.5
143,5,20,1.5,3,50,115,2
144,5,20,1.5,3,80,20,1
145,5,20,1.5,3,80,20,1.5
146,5,20,1.5,3,80,20,2
147,5,20,1.5,3,80,67.5,1
148,5,20,1.5,3,80,67.5,1.5
149,5,20,1.5,3,80,67.5,2
150,5,20,1.5,3,80,115,1
151,5,20,1.5,3,80,115,1.5
152,5,20,1.5,3,80,115,2
153,5,20,1.5,3,110,20,1
154,5,20,1.5,3,110,20,1.5
155,5,20,1.5,3,110,20,2
156,5,20,1.5,3,110,67.5,1
157,5,20,1.5,3,110,67.5,1.5
158,5,20,1.5,3,110,67.5,2
159,5,20,1.5,3,110,115,1
160,5,20,1.5,3,110,115,1.5
161,5,20,1.5,3,110,115,2
162,5,20,1.5,5,50,20,1
163,5,20,1.5,5,50,20,1.5
164,5,20,1.5,5,50,20,2
165,5,20,1.5,5,50,67.5,1
166,5,20,1.5,5,50,67.5,1.5
167,5,20,1.5,5,50,67.5,2
168,5,20,1.5,5,50,115,1
169,5,20,1.5,5,50,115,1.5
170,5,20,1.5,5,50,115,2
171,5,20,1.5,5,80,20,1
172,5,20,1.5,5,80,20,1.5
173,5,20,1.5,5,80,20,2
174,5,20,1.5,5,80,67.5,1
175,5,20,1.5,5,80,67.5,1.5
176,5,20,1.5,5,80,67.5,2
177,5,20,1.5,5,80,115,1
178,5,20,1.5,5,80,115,1.5
179,5,20,1.5,5,80,115,2
180,5,20,1.5,5,110,20,1
181,5,20,1.5,5,110,20,1.5
182,5,20,1.5,5,110,20,2
183,5,20,1.5,5,110,67.5,1
184,5,20,1.5,5,110,67.5,1.5
185,5,20,1.5,5,110,67.5,2
186,5,20,1.5,5,110,115,1
187,5,20,1.5,5,110,115,1.5
188,5,20,1.5,5,110,115,2
189,5,20,2,3,50,20,1
190,5,20,2,3,50,20,1.5
191,5,20,2,3,50,20,2
192,5,20,2,3,50,67.5,1
193,5,20,2,3,50,67.5,1.5
194,5,20,2,3,50,67.5,2
195,5,20,2,3,50,115,1
196,5,20,2,3,50,115,1.5
197,5,20,2,3,50,115,2
198,5,20,2,3,80,20,1
199,5,20,2,3,80,20,1.5
