building ID,number of story,bay width,story height ratio,number of bay,floor dead load,roof dead load,R,Cs lower bound 1,Cs lower bound 2,drift limit,Ss,S1,site class
0,5,30,1.0,5,80,60,8,0.044,0.5,0.02,2.5,1.2,C
1,5,30,1.0,5,80,60,8,0.044,0.5,0.02,2.5,1.2,D
2,5,30,1.0,5,80,60,8,0.044,0.5,0.02,2,0.9,C
3,5,30,1.0,5,80,60,8,0.044,0.5,0.02,2,0.9,D
4,5,30,1.0,5,80,60,8,0.044,0.5,0.02,1.5,0.6,C
5,5,30,1.0,5,80,60,8,0.044,0.5,0.02,1.5,0.6,D
6,5,30,1.0,5,80,60,8,0.044,0.5,0.025,2.5,1.2,C
7,5,30,1.0,5,80,60,8,0.044,0.5,0.025,2.5,1.2,D
8,5,30,1.0,5,80,60,8,0.044,0.5,0.025,2,0.9,C
9,5,30,1.0,5,80,60,8,0.044,0.5,0.025,2,0.9,D
10,5,30,1.0,5,80,60,8,0.044,0.5,0.025,1.5,0.6,C
11,5,30,1.0,5,80,60,8,0.044,0.5,0.025,1.5,0.6,D
12,5,30,1.0,5,80,60,8,0.044,0.5,0.03,2.5,1.2,C
13,5,30,1.0,5,80,60,8,0.044,0.5,0.03,2.5,1.2,D
14,5,30,1.0,5,80,60,8,0.044,0.5,0.03,2,0.9,C
15,5,30,1.0,5,80,60,8,0.044,0.5,0.03,2,0.9,D
16,5,30,1.0,5,80,60,8,0.044,0.5,0.03,1.5,0.6,C
17,5,30,1.0,5,80,60,8,0.044,0.5,0.03,1.5,0.6,D
18,5,30,1.0,5,80,60,8,0.0294,0.334,0.02,2.5,1.2,C
19,5,30,1.0,5,80,60,8,0.0294,0.334,0.02,2.5,1.2,D
20,5,30,1.0,5,80,60,8,0.0294,0.334,0.02,2,0.9,C
21,5,30,1.0,5,80,60,8,0.0294,0.334,0.02,2,0.9,D
22,5,30,1.0,5,80,60,8,0.0294,0.334,0.02,1.5,0.6,C
23,5,30,1.0,5,80,60,8,0.0294,0.334,0.02,1.5,0.6,D
24,5,30,1.0,5,80,60,8,0.0294,0.334,0.025,2.5,1.2,C
25,5,30,1.0,5,80,60,8,0.0294,0.334,0.025,2.5,1.2,D
26,5,30,1.0,5,80,60,8,0.0294,0.334,0.025,2,0.9,C
27,5,30,1.0,5,80,60,8,0.0294,0.334,0.025,2,0.9,D
28,5,30,1.0,5,80,60,8,0.0294,0.334,0.025,1.5,0.6,C
29,5,30,1.0,5,80,60,8,0.0294,0.334,0.025,1.5,0.6,D
30,5,30,1.0,5,80,60,8,0.0294,0.334,0.03,2.5,1.2,C
