index,section size,weight,A,d,bf,tw,tf,bf to tf ratio,h to tw ratio,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,rts
0,W33X141,141,41.5,33.3,11.5,0.605,0.96,6.01,49.6,7450,514,448,13.4,246,66.9,42.7,2.43,9.7,64400,2.98
1,W33X130,130,38.3,33.1,11.5,0.58,0.855,6.73,51.7,6710,467,406,13.2,218,59.5,37.9,2.39,7.37,56600,2.94
2,W27X146,146,43.2,27.4,14,0.605,0.975,7.16,39.4,5660,464,414,11.5,443,97.7,63.5,3.2,11.3,77200,3.76
3,W30X124,124,36.5,30.2,10.5,0.585,0.93,5.65,46.2,5360,408,355,12.1,181,54,34.4,2.23,7.99,38600,2.73
4,W30X116,116,34.2,30,10.5,0.565,0.85,6.17,47.8,4930,378,329,12,164,49.2,31.3,2.19,6.43,34900,2.7
5,W24X131,131,38.6,24.5,12.9,0.605,0.96,6.7,35.6,4020,370,329,10.2,340,81.5,53,2.97,9.5,47100,3.49
6,W30X108,108,31.7,29.8,10.5,0.545,0.76,6.89,49.6,4470,346,299,11.9,146,43.9,27.9,2.15,4.99,30900,2.67
7,W27X114,114,33.6,27.3,10.1,0.57,0.93,5.41,42.5,4080,343,299,11,159,49.3,31.5,2.18,7.33,27600,2.65
8,W21X122,122,35.9,21.7,12.4,0.6,0.96,6.45,31.3,2960,307,273,9.09,305,75.6,49.2,2.92,8.98,32700,3.4
9,W27X102,102,30,27.1,10,0.515,0.83,6.03,47.1,3620,305,267,11,139,43.4,27.8,2.15,5.28,24000,2.62
10,W24X103,103,30.3,24.5,9,0.55,0.98,4.59,39.2,3000,280,245,10,119,41.5,26.5,1.99,7.07,16600,2.4
11,W21X111,111,32.6,21.5,12.3,0.55,0.875,7.05,34.1,2670,279,249,9.05,274,68.2,44.5,2.9,6.83,29200,3.37
12,W27X94,94,27.6,26.9,10,0.49,0.745,6.7,49.5,3270,278,243,10.9,124,38.8,24.8,2.12,4.03,21300,2.59
13,W24X94,94,27.7,24.3,9.07,0.515,0.875,5.18,41.9,2700,254,222,9.87,109,37.5,24,1.98,5.26,15000,2.4
14,W18X106,106,31.1,18.7,11.2,0.59,0.94,5.96,27.2,1910,230,204,7.84,220,60.5,39.4,2.66,7.48,17400,3.1
15,W24X84,84,24.7,24.1,9.02,0.47,0.77,5.86,45.9,2370,224,196,9.79,94.4,32.6,20.9,1.95,3.7,12800,2.37
16,W21X93,93,27.3,21.6,8.42,0.58,0.93,4.53,32.3,2070,221,192,8.7,92.9,34.7,22.1,1.84,6.03,9940,2.24
17,W18X97,97,28.5,18.6,11.1,0.535,0.87,6.41,30,1750,211,188,7.82,201,55.3,36.1,2.65,5.86,15800,3.08
18,W24X76,76,22.4,23.9,8.99,0.44,0.68,6.61,49,2100,200,176,9.69,82.5,28.6,18.4,1.92,2.68,11100,2.33
19,W16X100,100,29.4,17,10.4,0.585,0.985,5.29,24.3,1490,198,175,7.1,186,54.9,35.7,2.51,7.73,11900,2.92
20,W21X83,83,24.4,21.4,8.36,0.515,0.835,5,36.4,1830,196,171,8.67,81.4,30.5,19.5,1.83,4.34,8630,2.21
21,W18X86,86,25.3,18.4,11.1,0.48,0.77,7.2,33.4,1530,186,166,7.77,175,48.4,31.6,2.63,4.1,13600,3.05
22,W16X89,89,26.2,16.8,10.4,0.525,0.875,5.92,27,1300,175,155,7.05,163,48.1,31.4,2.49,5.45,10200,2.88
23,W21X73,73,21.5,21.2,8.3,0.455,0.74,5.6,41.2,1600,172,151,8.64,70.6,26.6,17,1.81,3.02,7410,2.19
24,W12X106,106,31.2,12.9,12.2,0.61,0.99,6.17,15.9,933,164,145,5.47,301,75.1,49.3,3.11,9.13,10700,3.52
25,W21X68,68,20,21.1,8.27,0.43,0.685,6.04,43.6,1480,160,140,8.6,64.7,24.4,15.7,1.8,2.45,6760,2.17
26,W24X62,62,18.2,23.7,7.04,0.43,0.59,5.97,50.1,1550,153,131,9.23,34.5,15.7,9.8,1.38,1.71,4620,1.75
27,W16X77,77,22.6,16.5,10.3,0.455,0.76,6.77,31.2,1110,150,134,7,138,41.1,26.9,2.47,3.57,8590,2.85
28,W12X96,96,28.2,12.7,12.2,0.55,0.9,6.76,17.7,833,147,131,5.44,270,67.5,44.4,3.09,6.85,9410,3.49
29,W18X71,71,20.9,18.5,7.64,0.495,0.81,4.71,32.4,1170,146,127,7.5,60.3,24.7,15.8,1.7,3.49,4700,2.05
30,W21X62,62,18.3,21,8.24,0.4,0.615,6.7,46.9,1330,144,127,8.54,57.5,21.7,14,1.77,1.83,5960,2.15
31,W14X82,82,24,14.3,10.1,0.51,0.855,5.92,22.4,881,139,123,6.05,148,44.8,29.3,2.48,5.07,6710,2.85
32,W24X55,55,16.2,23.6,7.01,0.395,0.505,6.94,54.6,1350,134,114,9.11,29.1,13.3,8.3,1.34,1.18,3870,1.72
33,W18X65,65,19.1,18.4,7.59,0.45,0.75,5.06,35.7,1070,133,117,7.49,54.8,22.5,14.4,1.69,2.73,4240,2.03
34,W21X57,57,16.7,21.1,6.56,0.405,0.65,5.04,46.3,1170,129,111,8.36,30.6,14.8,9.35,1.35,1.77,3190,1.68
35,W14X74,74,21.8,14.2,10.1,0.45,0.785,6.41,25.4,795,126,112,6.04,134,40.5,26.6,2.48,3.87,5990,2.83
36,W18X60,60,17.6,18.2,7.56,0.415,0.695,5.44,38.7,984,123,108,7.47,50.1,20.6,13.3,1.68,2.17,3850,2.02
37,W14X68,68,20,14,10,0.415,0.72,6.97,27.5,722,115,103,6.01,121,36.9,24.2,2.46,3.01,5380,2.8
38,W18X55,55,16.2,18.1,7.53,0.39,0.63,5.98,41.1,890,112,98.3,7.41,44.9,18.5,11.9,1.67,1.66,3430,2
39,W21X50,50,14.7,20.8,6.53,0.38,0.535,6.1,49.4,984,110,94.5,8.18,24.9,12.2,7.64,1.3,1.14,2570,1.64
40,W16X57,57,16.8,16.4,7.12,0.43,0.715,4.98,33,758,105,92.2,6.72,43.1,18.9,12.1,1.6,2.22,2660,1.92
